Symbol,YahooTicker,Name,Sector,UniverseType,StartDate,EndDate,SnapshotDate,RevisionDate,OldId
KO,KO,The Coca-Cola Company,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
LLY,LLY,Eli Lilly and Company,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
LMT,LMT,Lockheed-Martin,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
LOW,LOW,Lowe's,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
MA,MA,Mastercard Inc,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
MCD,MCD,McDonald's Corp,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
MDLZ,MDLZ,Mondelēz International,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
MDT,MDT,Medtronic Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
MET,MET,Metlife Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
MMM,MMM,3M Company,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
MO,MO,Altria Group,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
MON,MON,Monsanto,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
MRK,MRK,Merck & Co.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
MS,MS,Morgan Stanley,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
