Symbol,Name,Sector,YahooTicker,SnapshotDate,RevisionDate,OldId
KO,The Coca-Cola Company,,KO,2015-04-30,2015-04-19,657208316
LLY,Eli Lilly and Company,,LLY,2015-04-30,2015-04-19,657208316
LMT,Lockheed-Martin,,LMT,2015-04-30,2015-04-19,657208316
LOW,Lowe's,,LOW,2015-04-30,2015-04-19,657208316
MA,Mastercard Inc,,MA,2015-04-30,2015-04-19,657208316
MCD,McDonald's Corp,,MCD,2015-04-30,2015-04-19,657208316
MDLZ,Mondelēz International,,MDLZ,2015-04-30,2015-04-19,657208316
MDT,Medtronic Inc.,,MDT,2015-04-30,2015-04-19,657208316
MET,Metlife Inc.,,MET,2015-04-30,2015-04-19,657208316
MMM,3M Company,,MMM,2015-04-30,2015-04-19,657208316
MO,Altria Group,,MO,2015-04-30,2015-04-19,657208316
MON,Monsanto,,MON,2015-04-30,2015-04-19,657208316
MRK,Merck & Co.,,MRK,2015-04-30,2015-04-19,657208316
MS,Morgan Stanley,,MS,2015-04-30,2015-04-19,657208316
MSFT,Microsoft,,MSFT,2015-04-30,2015-04-19,657208316
NKE,Nike,,NKE,2015-04-30,2015-04-19,657208316
NOV,National Oilwell Varco,,NOV,2015-04-30,2015-04-19,657208316
NSC,Norfolk Southern Corp,,NSC,2015-04-30,2015-04-19,657208316
ORCL,Oracle Corporation,,ORCL,2015-04-30,2015-04-19,657208316
OXY,Occidental Petroleum Corp.,,OXY,2015-04-30,2015-04-19,657208316
PEP,Pepsico Inc.,,PEP,2015-04-30,2015-04-19,657208316
PFE,Pfizer Inc,,PFE,2015-04-30,2015-04-19,657208316
PG,Procter & Gamble Co,,PG,2015-04-30,2015-04-19,657208316
PM,Phillip Morris International,,PM,2015-04-30,2015-04-19,657208316
QCOM,Qualcomm Inc.,,QCOM,2015-04-30,2015-04-19,657208316
RTN,Raytheon Co (NEW),,RTN,2015-04-30,2015-04-19,657208316
SBUX,Starbucks Corporation,,SBUX,2015-04-30,2015-04-19,657208316
SLB,Schlumberger,,SLB,2015-04-30,2015-04-19,657208316
SO,Southern Company,,SO,2015-04-30,2015-04-19,657208316
SPG,"Simon Property Group, Inc.",,SPG,2015-04-30,2015-04-19,657208316
T,AT&T Inc,,T,2015-04-30,2015-04-19,657208316
